,Name,Classification,Type,Country,Adress,Latitude,Longitude,location
136,Boomarang Bistro & Bar,Leisure Places,Australian Restaurant,SG,52 Circular Road,1.2856579384319702,103.84950445769702,"{'type': 'Point', 'coordinates': (1.2856579384319702, 103.84950445769702)}"
137,99 Degrees Pub And Ktv,Leisure Places,Pub,SG,Singapore,1.28856466,103.84357,"{'type': 'Point', 'coordinates': (1.28856466, 103.84357)}"
138,99 Degree Pub,Leisure Places,Pub,SG,Central Mall,1.2886277076849717,103.84358204668783,"{'type': 'Point', 'coordinates': (1.2886277076849717, 103.84358204668783)}"
139,Illuzion,Leisure Places,Pub,SG,45 neil road,1.279656,103.842852,"{'type': 'Point', 'coordinates': (1.279656, 103.842852)}"
140,Le Noir,Leisure Places,Lounge,SG,3C River Valley Road (Clarke Quay),1.289881971213239,103.84629886349114,"{'type': 'Point', 'coordinates': (1.289881971213239, 103.84629886349114)}"
141,Harry's,Leisure Places,Pub,SG,"#01-05/07, Esplanade Mall (8 Raffles Ave)",1.28941442202027,103.85613001186913,"{'type': 'Point', 'coordinates': (1.28941442202027, 103.85613001186913)}"
142,Orgo Bar & Lab,Leisure Places,Pub,SG,"#04-01, Roof Terrace, Esplanade Theatres on the Bay (1 Esplanade Dr)",1.289606492245779,103.85612470507638,"{'type': 'Point', 'coordinates': (1.289606492245779, 103.85612470507638)}"
143,New Harbour Cafe & Bar,Leisure Places,Pub,SG,114 Tanjong Pagar Road,1.2778405205280887,103.84364948182709,"{'type': 'Point', 'coordinates': (1.2778405205280887, 103.84364948182709)}"
144,Back Bencher Cafe & Bar,Leisure Places,Pub,SG,Singapore,1.280998125583318,103.84576170190999,"{'type': 'Point', 'coordinates': (1.280998125583318, 103.84576170190999)}"
145,CU29,Leisure Places,Pub,SG,29 Ann Siang Hill,1.2807867336932157,103.84585228574122,"{'type': 'Point', 'coordinates': (1.2807867336932157, 103.84585228574122)}"
146,My Awesome Cafe 真棒堂 (My Awesome Café),Leisure Places,Café,SG,202 Telok Ayer Street,1.28009,103.847253,"{'type': 'Point', 'coordinates': (1.28009, 103.847253)}"
147,Singapore Sling Boutique Clarke Quay,Leisure Places,Pub,SG,Singapore,1.2905673155300954,103.8448921582914,"{'type': 'Point', 'coordinates': (1.2905673155300954, 103.8448921582914)}"
